Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/,684.5615234375,908,text/html
https://www.foxnews.com/lifestyle,494.54296875,972,text/html
https://www.foxnews.com/category/us/crime,132.6572265625,367,text/html
https://www.foxnews.com/video/5614615980001,63.357421875,67,text/html
https://www.foxnews.com/sports,244.4765625,417,text/html
https://www.foxnews.com/games,117.9091796875,320,text/html
https://www.foxnews.com/category/tech/artificial-intelligence,205.552734375,469,text/html
https://www.foxnews.com/video,752.439453125,533,text/html
https://www.foxnews.com/entertainment,269.5888671875,461,text/html
https://www.foxnews.com/category/us/military,119.9306640625,351,text/html
https://www.foxnews.com/politics,255.908203125,435,text/html
https://www.foxnews.com/opinion,260.9140625,434,text/html
https://www.foxnews.com/world,284.1123046875,477,text/html
https://www.foxnews.com/us,299.451171875,529,text/html
https://www.foxnews.com/media,377.3408203125,582,text/html
https://www.foxnews.com/true-crime,302.4130859375,507,text/html
https://www.foxnews.com/books,34.529296875,114,text/html
https://www.foxnews.com/category/politics/executive,120.2685546875,351,text/html
https://www.foxnews.com/category/politics/foreign-policy,120.11328125,351,text/html
https://www.foxnews.com/category/politics/judiciary,120.1435546875,351,text/html
https://www.foxnews.com/category/us/digital-originals,250.8583984375,527,text/html
https://www.foxnews.com/category/politics/senate,119.13671875,351,text/html
https://www.foxnews.com/category/politics/house-of-representatives,121.173828125,351,text/html
https://www.foxnews.com/category/news-events/fox-news-investigates,120.740234375,351,text/html
https://www.foxnews.com/category/us/economy,119.5693359375,351,text/html
https://www.foxnews.com/category/us/immigration,164.9873046875,417,text/html
https://www.foxnews.com/category/us/terror,119.830078125,351,text/html
https://www.foxnews.com/category/us/education,120.2314453125,351,text/html
https://www.foxnews.com/video/topics/latest-news-video,333.3828125,114,text/html
https://www.foxnews.com/category/us/personal-freedoms,119.35546875,351,text/html
https://www.foxnews.com/video/topics/v-most-recent-episodes,227.5791015625,114,text/html
https://www.foxnews.com/apps-products,193.798828125,340,text/html
https://www.foxnews.com/video/shows,203.458984375,82,text/html
https://www.foxnews.com/world/2-teens-detained-explosions-denmarks-israeli-embassy,214.48828125,326,text/html
https://www.foxnews.com/media/sean-hannity-hurricane-victims-have-been-completely-abandoned-your-border-czar,209.3349609375,325,text/html
https://www.foxnews.com/us/grandparents-found-hugging-after-being-killed-during-hurricane-helene,251.279296875,338,text/html
https://www.foxnews.com/us/online-voting-alaskas-fat-bear-week-contest-starts-attack-killed-1-contestant,222.3212890625,327,text/html
https://www.foxnews.com/world/wikileaks-julian-assange-says-he-pleaded-guilty-journalism-order-freed,218.0849609375,324,text/html
https://www.foxnews.com/story/where-in-the-world-is-fox,336.3310546875,316,text/html
https://www.foxnews.com/compliance,177.7236328125,319,text/html
https://www.foxnews.com/about,172.197265625,310,text/html
https://www.foxnews.com/category/fitness-and-wellbeing,129.0068359375,372,text/html
https://www.foxnews.com/us/fed-agencies-released-noncitizens-without-id-us-allowed-them-board-domestic-flights-dhs-oig-report,253.3515625,333,text/html
https://www.foxnews.com/media/cbs-host-grills-ta-nehisi-coates-anti-israel-views-new-book-looks-like-came-from-an-extremist,238.392578125,326,text/html
https://www.foxnews.com//www.foxnews.com/shows/fox-nation,209.7099609375,379,text/html
https://www.foxnews.com//www.foxnews.com/category/world/scandals,120.478515625,351,text/html
