Query,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,1,10.0,0
Query 2,0,0.0,0
Query 3,0,0.0,0
Query 4,1,10.0,0
Query 5,0,0.0,0
Query 6,1,10.0,0
Query 7,2,20.0,-0.9999999999999999
Query 8,0,0.0,0
Query 9,2,20.0,0.9999999999999999
Query 10,0,0.0,0
Query 11,1,10.0,0
Query 12,0,0.0,0
Query 13,0,0.0,0
Query 14,0,0.0,0
Query 15,1,10.0,0
Query 16,2,20.0,-0.9999999999999999
Query 17,2,20.0,0.9999999999999999
Query 18,2,20.0,0.9999999999999999
Query 19,1,10.0,1
Query 20,0,0.0,0
Query 21,3,30.0,1.0
Query 22,1,10.0,1
Query 23,0,0.0,0
Query 24,0,0.0,0
Query 25,1,10.0,0
Query 26,0,0.0,0
Query 27,1,10.0,0
Query 28,0,0.0,0
Query 29,0,0.0,0
Query 30,1,10.0,0
Query 31,1,10.0,0
Query 32,1,10.0,0
Query 33,1,10.0,0
Query 34,2,20.0,-0.9999999999999999
Query 35,0,0.0,0
Query 36,0,0.0,0
Query 37,0,0.0,0
Query 38,0,0.0,0
Query 39,0,0.0,0
Query 40,0,0.0,0
Query 41,2,20.0,-0.9999999999999999
Query 42,1,10.0,1
Query 43,0,0.0,0
Query 44,0,0.0,0
Query 45,2,20.0,0.9999999999999999
Query 46,1,10.0,0
Query 47,0,0.0,0
Query 48,2,20.0,0.9999999999999999
Query 49,4,40.0,0.39999999999999997
Query 50,1,10.0,1
Query 51,0,0.0,0
Query 52,5,50.0,0.3
Query 53,1,10.0,1
Query 54,1,10.0,0
Query 55,1,10.0,0
Query 56,2,20.0,0.9999999999999999
Query 57,0,0.0,0
Query 58,1,10.0,0
Query 59,1,10.0,0
Query 60,0,0.0,0
Query 61,0,0.0,0
Query 62,0,0.0,0
Query 63,2,20.0,-0.9999999999999999
Query 64,1,10.0,1
Query 65,0,0.0,0
Query 66,0,0.0,0
Query 67,0,0.0,0
Query 68,3,30.0,0.5
Query 69,0,0.0,0
Query 70,4,40.0,-0.19999999999999998
Query 71,2,20.0,-0.9999999999999999
Query 72,0,0.0,0
Query 73,0,0.0,0
Query 74,2,20.0,-0.9999999999999999
Query 75,3,30.0,-0.5
Query 76,3,30.0,1.0
Query 77,1,10.0,1
Query 78,0,0.0,0
Query 79,0,0.0,0
Query 80,2,20.0,-0.9999999999999999
Query 81,1,10.0,0
Query 82,0,0.0,0
Query 83,0,0.0,0
Query 84,1,10.0,0
Query 85,0,0.0,0
Query 86,1,10.0,1
Query 87,0,0.0,0
Query 88,0,0.0,0
Query 89,1,10.0,0
Query 90,2,20.0,-0.9999999999999999
Query 91,0,0.0,0
Query 92,1,10.0,0
Query 93,0,0.0,0
Query 94,3,30.0,1.0
Query 95,2,20.0,0.9999999999999999
Query 96,1,10.0,0
Query 97,0,0.0,0
Query 98,0,0.0,0
Query 99,3,30.0,0.5
Query 100,0,0.0,0
Averages,0.92,9.2,0.1,
